id_article,titre_article,url_article,date_publication_article,categorie_article,date_scraping,id_commentaire,id_parent,type,auteur,date_publication,contenu,longueur_contenu,mots_contenu,nombre_reponses,contenu_propre,longueur_propre,mots_propre
https://lefaso.net/spip.php?article137593,"Tentative de coup d’État : « Nous appelons chaque Burkinabè à se lever, à résister, à veiller, car l’ennemi est partout », déclare la CNAVC",https://lefaso.net/spip.php?article137593,mardi 22 avril 2025 à 21h35min,Accueil>Actualités>Société,2025-09-28T16:18:28.128876,C001,,commentaire,Indjaba,22 avril 11:40,"C’est dommage que l’on soit encore dans un contexte où des gens pensent encore à des coups d’État. C’est pour faire quoi ? C’est pour gagner quoi ? Est ce pour le bonheur du peuple ? Bref ! Ceci dit, il y’a eut trop de tentatives de coups d’État. Et si on essayait de faire des hypothèses pour cerner les causes afin de prévenir ? 1) Sur le plan de la lutte contre le terrorisme, beaucoup d’efforts ont été faits meme si les résultats ne sont pas facilement compris par les non initiés de la sécurité et de la défense . En effet quand le citoyen ne peut pas faire : Ouaga Djibo sans escorte , il conclut que rien n’est fait. Pourtant Les spécialistes de la défense suivent certainement d’autres indicateurs qu’ils trouvent positifs et encourageants. Ces coups d’État ne peuvent donc pas s’expliquer par la lutte contre le terrorisme. 2) Sur le plan de la diplomatie : Là effectivement nos nouveaux choix et notre stratégie peuvent entraîner certaines frustrations . Je recommande donc qu’on garde la même vision de souveraineté et qu’on réexamine nos stratégies diplomatiques pour atteindre les mêmes objectifs sans avoir à faire trop de ’’palabres’’ avec trop de gens. 3) Sur le plan politique interne. Là aussi il faut une concertation. Quand les acteurs politiques ont l’impression qu’il n’y a aucune perspective, aucune ouverture pour eux dans l’immédiat et le futur, cela peut les pousser à soutenir des projets machiavéliques. Moi je recommande qu’on accorde à IB un mandat unique d’au moins 10 ans sans interruption et qu’on permette aux politiciens de s’exprimer de façon encadrée . On pourrait leur permettre de prendre part par exemple à la gestion des collectivités et pourquoi pas au parlement. 4) Sur le plan social, il faudra désarmer les cœurs et les discours des Burkinabé en présentiel et sur les réseaux sociaux. Les Wayiyans aussi doivent revoir certains de leurs propos pour ne pas entretenir la haine et la division . Il faudra essayer des concertation avec les syndicats et certaines OSC pour leur délimiter un périmètre d’action. Il faudra aussi essayer la réconciliation en discutant avec tout le monde y compris ceux qui sont arrêtés et ceux qui sont en exil. Il faudra rencontrer la presse et leur décrire un minimum de zone de liberté. On pourrait leur permettre de critiquer les actes du gouvernement sauf ceux en rapport direct avec les questions de la défense et de la sécurité. 5) Autres hypothèses pouvant expliquer ces tentatives de coups d’État, c’est la vengeance , la recherche du pouvoir pour des intérêts personnels, l’orgueil etc. Là par contre c’est pas du tout sérieux et l’état n’a d’autres choix que de sévir. La liste des hypothèses n’est pas exhaustive mais je prie les Burkinabé de faire Balle à terre pour qu’ensembles nous essayons la solution IB pour en finir avec le terrorisme et après on verra le reste les autres aspects de notre Burkina commun.",2898,495,1,c dommage l contexte pensent coup d état c faire c gagner bonheur peuple bref avoir trop tentative coup d état essayer faire hypothèse cerner cause prévenir plan lutte contre terrorisme beaucoup d effort être faire résultat facilement non initier sécurité défense citoyen faire ouaga djibo escorte conclure rien ne pourtant spécialiste défense suivre certainement d indicateur que trouver positif encourageant coup d état s expliquer lutte contre terrorisme plan diplomatie effectivement nouveau choix stratégie entraîner frustration recommander que garde vision souveraineté que réexaminer stratégie diplomatique atteindre objectif faire trop palabre trop plan politique interne falloir concertation acteur politique l impression que n aucun perspective aucun ouverture l immédiat futur pousser soutenir projet machiavélique recommander qu accorder ib mandat unique d an interruption que permettre politicien s exprimer encadrer permettre prendre part exemple gestion collectivité parlement plan social falloir désarmer c ur discours burkinabé présentiel réseau social wayiyan revoir propos entretenir haine division falloir essayer concertation syndicat osc délimiter périmètre d action falloir essayer réconciliation discuter monde arrêter exil falloir rencontrer presse décrire minimum zone liberté permettre critiquer acte gouvernement rapport direct question défense sécurité hypothèse pouvoir expliquer tentative coup d état c vengeance recherche pouvoir intérêt personnel l orgueil contre c sérieux l état n d choix sévir liste hypothèse n exhaustif prier burkinabé faire balle terre qu ensemble essayer solution ib finir terrorisme voir aspect burkina commun,1667,229
https://lefaso.net/spip.php?article137593,"Tentative de coup d’État : « Nous appelons chaque Burkinabè à se lever, à résister, à veiller, car l’ennemi est partout », déclare la CNAVC",https://lefaso.net/spip.php?article137593,mardi 22 avril 2025 à 21h35min,Accueil>Actualités>Société,2025-09-28T16:18:28.128876,C001R01,C001,reponse,Le nouveau sage,22 avril 12:30,"Salut Indjaba, la reponse est simple, ce sont les imperialistes qui veulent s’acaparer (corrige moi si c’est 1 c ou 2 c) de nos richesses surtout l’or et malheureusent a travers des valets locaux sans dignite. C’est tout.",221,38,0,salut indjaber reponse simple imperialiste vouloir s acaparer corriger c c c richesse l malheureusent travers valet local dignite c,131,20
https://lefaso.net/spip.php?article137593,"Tentative de coup d’État : « Nous appelons chaque Burkinabè à se lever, à résister, à veiller, car l’ennemi est partout », déclare la CNAVC",https://lefaso.net/spip.php?article137593,mardi 22 avril 2025 à 21h35min,Accueil>Actualités>Société,2025-09-28T16:18:28.128876,C002,,commentaire,Le nouveau sage,22 avril 12:23,"Mon soutien indefectible et sans ambage au president, son excellence Ibrahim TRAORE qui fait du tres bon boulot. Nous sommes tres fier de IB qui est devenu un exemple pour toute l’Afrique. Chers imperialistes et valets locaux, ne perdez pas votre temps, le peuple est avec Ibrahim Traore et aucune manipilations ne peut passer.",327,54,0,soutien indefectibl ambage president excellence ibrahim traore bon boulot être fier ib devenir exemple l afrique cher imperialiste valet local perdre temps peuple ibrahim traore aucun manipilation passer,203,28
https://lefaso.net/spip.php?article137593,"Tentative de coup d’État : « Nous appelons chaque Burkinabè à se lever, à résister, à veiller, car l’ennemi est partout », déclare la CNAVC",https://lefaso.net/spip.php?article137593,mardi 22 avril 2025 à 21h35min,Accueil>Actualités>Société,2025-09-28T16:18:28.128876,C003,,commentaire,Philip,22 avril 23:48,"Félicitations à la veille citoyenne (cnavc), et sans omettre les Wayiyans ”également“ (cdr) Bis. En matière de la régence ; la question est très simple car, le pays est en état d’urgence. L’on devrait tenir compte de ce factoriel !!! Et nous rendons un hommage particulier à notre vaillant compatriote Mr. B. Tanou. ( R. D. P. ). Que le bon Dieu sauvegarde le Faso. Par Farafidenh.",381,67,0,félicitatier veille citoyen cnavc omettre wayiyan cdr bis matière régence question simple pays état d urgence l devoir compte factoriel rendre hommage particulier vaillant compatriot mr b tanou r d p bon dieu sauvegarde faso farafidenh,235,36
https://lefaso.net/spip.php?article137593,"Tentative de coup d’État : « Nous appelons chaque Burkinabè à se lever, à résister, à veiller, car l’ennemi est partout », déclare la CNAVC",https://lefaso.net/spip.php?article137593,mardi 22 avril 2025 à 21h35min,Accueil>Actualités>Société,2025-09-28T16:18:28.128876,C004,,commentaire,Sinseulement…,23 avril 05:16,On déplore qu’il y ait des tentatives de coups d’état qui menacent des pays gouvernés …par des militaires. On oublie que ces militaires sont arrivés au pouvoir par des coups d’état. Et probablement soutenus par une puissance étrangère comme la Russie qui ne s’intéresse qu’à obtenir des avantages. Ces militaires sont ils arrivés à vaincre le terrorisme ? Non. Et ils ne peuvent pas dire qu’il y a eu des améliorations suffisantes. Certains voudraient croire que tout est de la faute à…mais ce n’est pas si simple. Oui le peuple doit se prendre en charge sans croire aux miracles qui viendraient d’ailleurs.,607,102,0,déplorer qu tentative coup d état menacer pays gouverner militaire oublier militaire arriver pouvoir coup d état probablement soutenir puissance étranger russie s intéresser que obtenir avantage militaire arriver vaincre terrorisme non qu amélioration suffisant voudraient croire faute ne simple oui peuple prendre charge croire miracle venir d ailleurs,353,49
https://lefaso.net/spip.php?article137593,"Tentative de coup d’État : « Nous appelons chaque Burkinabè à se lever, à résister, à veiller, car l’ennemi est partout », déclare la CNAVC",https://lefaso.net/spip.php?article137593,mardi 22 avril 2025 à 21h35min,Accueil>Actualités>Société,2025-09-28T16:18:28.128876,C005,,commentaire,citoyen ordinaire,23 avril 21:06,"Quand on a pas un minimum pour tirer une conclusion objective, ce n’est pas grave ! De là à vouloir tirer tout le monde vers le bas, à imposer un obscurantisme beat, c’est trop osé ! Les faits sont têtus : la guerre économique déclenchée par les américains contre beaucoup de pays et particulièrement la Chine risque de se retourner contre les USA. On dira que les petits pays comme le Burkina ne pèse pas grand chose mais il ne faut pas se voiler la face. Non seulement le Burkina achète armes et matériel avec la Chine mais aussi, le fait de constituer une réserve d’or pour acheter directement ce matériel sans passer l’euro ou le dollar, diminue l’influence économique de ces pays qui se disent grands mais qui ont des pieds en argile. Les coupes budgétaires aux USA, les licenciements massifs ordonnés par l’administration TRUMP, la suspension des aides de l’USAID sont des signes qui ne trompent. D’ailleurs cette suspension de l’USAID commence à avoir des effets positifs dans certains pays bénéficiaires qui se préparent à s’en passer définitivement en multipliant les sources de financement locaux. Pour le cas du Burkina,.la réserve d’or et l’option d’acheter directement avec l’or inquiète les américains et leurs alliés européens et ils craignent que cela ne fassent tâche d’huile même en dehors des pays de l’AES. On comprend aisément pourquoi les américains (cf déclarations du Général américain Langley devant les sénateurs américains) mais aussi et surtout les français via les relais locaux comme le propriétaire de la Lagune Ebrié, s’évertuent à vouloir terrasser Ibrahim TRAORE (au moins par élimination physique du Président) pour avoir un peu d’air frais dans cette partie du monde. Contrairement au 15 Octobre 1987, la manœuvre ne sera une balade de santé car le terrain est désormais moins connu par tous ses pseudo spécialistes de l’Afrique. Les risques sont nombreux et c’est probablement ce qui est arrivé aux Américains en Afghanistan qui risque d’arriver à n’importe quel pays qui oserait s’en prendre au régime du Capitaine Ibrahim TRAORE. Autre malheur pour les déstabilisateurs, la radiation de Laurent Bagbo, de Soro Guillaume, de Tidiane Thiam et de Blé Goudé sur les listes électorales en Côte d’Ivoire a déjà semé la graine de la division et compromettra le déroulement paisible des élections. Même si on les rétablit aujourd’hui,.le mal est déjà fait et il ya des risques de crises électorales comme en 2000 et 3010. Les peuples africains francophones ont été pendant longtemps pris en otage par les hommes politiques mais 2025 risque d’être la.ligne de l’horizon à ne pas franchir pour certains. Le temps nous dira qui a raison !",2666,440,0,minimum tirer conclusion objectif n grave vouloir tirer monde imposer obscurantisme beat c trop oser fait têtu guerre économique déclencher américain contre beaucoup pays particulièrement chine risque retourner contre usa dire petit pays burkina peser grand chose falloir voiler face non burkina achèt arme matériel chine constituer réserve d acheter matériel passer l euro dollar diminuer l influence économique pays dire grand pied argile coupe budgétaire usa licenciement massif ordonner l administration trump suspension aide l usaid signe tromper d ailleurs suspension l usaid commencer effet positif pays bénéficiaire préparer s passer définitivement multiplier source financement local cas burkina réserve d l option d acheter l inquiet américain allié européen craindre faire tâch d huile pays l ae comprendre aisément américain cf déclaration général américain langley sénateur américain français relais local propriétaire lagune ebrié s évertuer vouloir terrasser ibrahim traore élimination physique président d air frer partie monde contrairement octobre man uvre balade santé terrain connaître pseudo spécialiste l afrique risque c probablement arriver américain afghanistan risque d arriver n pays oser s prendre régime capitaine ibrahim traore malheur déstabilisateur radiation laurent bagbo soro guillaum tidian thiam blé gouder liste électoral côte d ivoire semer graine division compromettre déroulement paisible élection rétablit aujourd mal ya risque crise électoral peuple africain francophone être prendre otage homme politique risque d ligne l horizon franchir temps dire raison,1600,225
https://lefaso.net/spip.php?article124600,"Burkina Faso : Une tentative de Coup d’Etat dejouée le 26 septembre 2023, selon le gouvernement",https://lefaso.net/spip.php?article124600,mercredi 27 septembre 2023 à 23h30min,Accueil>Actualités>Politique,2025-09-28T16:18:45.076751,C001,,commentaire,Indjaba,27 septembre 2023 22:47,On ne veut plus de coup d’État dans ce pays. Les dirigeants doivent toutefois appliquer la constitution dans tous les recoins. Abas les enlèvements illicites. Vive les interpellations par une police judiciaire.,210,32,3,vouloir coup d état pays dirigeant toutefois appliquer constitution recoin aber enlèvement illicite vivre interpellation police judiciaire,138,17
https://lefaso.net/spip.php?article124600,"Burkina Faso : Une tentative de Coup d’Etat dejouée le 26 septembre 2023, selon le gouvernement",https://lefaso.net/spip.php?article124600,mercredi 27 septembre 2023 à 23h30min,Accueil>Actualités>Politique,2025-09-28T16:18:45.076751,C001R01,C001,reponse,Amors,28 septembre 2023 07:10,"Le Burkina Fao n’en serait pas là si Damiba et Traore avait suivi cette recommandation : ""Ne fais pas à autrui ce que tu ne voudrais pas qu’on te fasse"" .",154,31,0,burkina fao n damiba traore suivre recommandation vouloir que faire,67,10
https://lefaso.net/spip.php?article124600,"Burkina Faso : Une tentative de Coup d’Etat dejouée le 26 septembre 2023, selon le gouvernement",https://lefaso.net/spip.php?article124600,mercredi 27 septembre 2023 à 23h30min,Accueil>Actualités>Politique,2025-09-28T16:18:45.076751,C001R02,C001,reponse,kwiliga,28 septembre 2023 11:13,"Bonjour indjaba, bonjour Amors, Pour aller dans votre sens, on a l’impression que cette partie du communiqué : ""des Burkinabè qui plus est des officiers dont le serment est de défendre la Patrie, se soient fourvoyés dans une entreprise d’une telle nature qui vise à entraver la marche du peuple burkinabè..."" aurait pu être rédigée fin janvier 2022, par RMC Kaboré, président démocratiquement élu, seul légitime à incriminer des officiers ayant trahi leur serment.",464,74,0,bonjour indjaba bonjour amors aller sens l impression partie communiqué burkinabè officier serment défendre patrie être fourvoyer entreprise d nature viser entraver marche peuple burkinabè rédiger fin janvier rmc kaboré président démocratiquement élu légitime incriminer officier trahir serment,294,38
https://lefaso.net/spip.php?article124600,"Burkina Faso : Une tentative de Coup d’Etat dejouée le 26 septembre 2023, selon le gouvernement",https://lefaso.net/spip.php?article124600,mercredi 27 septembre 2023 à 23h30min,Accueil>Actualités>Politique,2025-09-28T16:18:45.076751,C001R03,C001,reponse,Gwandba,29 septembre 2023 08:08,"kwiliga ""aurait pu être rédigée fin janvier 2022, par RMC Kaboré, président démocratiquement élu"" Rien d’étonnant venant de vous. Ce que vous n’arrivé pas à comprendre, c’est qu’il n’est plus question de nous laisser diriger par des soumis avec des discours fades à la RMC KABORE. Les porteurs de nœuds pap n’ont qu’un objectif peu importe le prix à payer ou le peu de dignité qui leur reste à perdre. N’est-ce pas kwiliga ???",426,74,0,kwiliga rédiger fin janvier rmc kaboré président démocratiquement élu rien d étonnant venir n arriver comprendre c qu ne question diriger soumettre discours fade rmc kabore porteur n uds pap n qu objectif prix payer dignité perdre n kwiliga,240,39
